number,code,url-name,filename,emoji,emoji-symbol,link,title,front-matter
1110,u+1fa70,ballet-shoes,1110-ballet-shoes.md,ballet_shoes,🩰,permalink: 🩰.html,ballet shoes,"---
layout: objects
title: ballet shoes
emoji: ballet_shoes
permalink: 🩰.html
---"
1111,u+1f462,womans-boot,1111-womans-boot.md,womans_boot,👢,permalink: 👢.html,woman’s boot,"---
layout: objects
title: woman’s boot
emoji: womans_boot
permalink: 👢.html
---"
1112,u+1f451,crown,1112-crown.md,crown,👑,permalink: 👑.html,crown,"---
layout: objects
title: crown
emoji: crown
permalink: 👑.html
---"
1113,u+1f452,womans-hat,1113-womans-hat.md,womans_hat,👒,permalink: 👒.html,woman’s hat,"---
layout: objects
title: woman’s hat
emoji: womans_hat
permalink: 👒.html
---"
1114,u+1f3a9,top-hat,1114-top-hat.md,top_hat,🎩,permalink: 🎩.html,top hat,"---
layout: objects
title: top hat
emoji: top_hat
permalink: 🎩.html
---"
1115,u+1f393,graduation-cap,1115-graduation-cap.md,graduation_cap,🎓,permalink: 🎓.html,graduation cap,"---
layout: objects
title: graduation cap
emoji: graduation_cap
permalink: 🎓.html
---"
1116,u+1f9e2,billed-cap,1116-billed-cap.md,billed_cap,🧢,permalink: 🧢.html,billed cap,"---
layout: objects
title: billed cap
emoji: billed_cap
permalink: 🧢.html
---"
1117,u+1fa96,military-helmet,1117-military-helmet.md,military_helmet,🪖,permalink: 🪖.html,military helmet,"---
layout: objects
title: military helmet
emoji: military_helmet
permalink: 🪖.html
---"
1118,u+26d1,rescue-workers-helmet,1118-rescue-workers-helmet.md,rescue_workers_helmet,⛑,permalink: ⛑.html,rescue worker’s helmet,"---
layout: objects
title: rescue worker’s helmet
emoji: rescue_workers_helmet
permalink: ⛑.html
---"
1119,u+1f4ff,prayer-beads,1119-prayer-beads.md,prayer_beads,📿,permalink: 📿.html,prayer beads,"---
layout: objects
title: prayer beads
emoji: prayer_beads
permalink: 📿.html
---"
1120,u+1f484,lipstick,1120-lipstick.md,lipstick,💄,permalink: 💄.html,lipstick,"---
layout: objects
title: lipstick
emoji: lipstick
permalink: 💄.html
---"
1121,u+1f48d,ring,1121-ring.md,ring,💍,permalink: 💍.html,ring,"---
layout: objects
title: ring
emoji: ring
permalink: 💍.html
---"
1122,u+1f48e,gem-stone,1122-gem-stone.md,gem_stone,💎,permalink: 💎.html,gem stone,"---
layout: objects
title: gem stone
emoji: gem_stone
permalink: 💎.html
---"
1123,u+1f507,muted-speaker,1123-muted-speaker.md,muted_speaker,🔇,permalink: 🔇.html,muted speaker,"---
layout: objects
title: muted speaker
emoji: muted_speaker
permalink: 🔇.html
---"
1124,u+1f508,speaker-low-volume,1124-speaker-low-volume.md,speaker_low_volume,🔈,permalink: 🔈.html,speaker low volume,"---
layout: objects
title: speaker low volume
emoji: speaker_low_volume
permalink: 🔈.html
---"
1125,u+1f509,speaker-medium-volume,1125-speaker-medium-volume.md,speaker_medium_volume,🔉,permalink: 🔉.html,speaker medium volume,"---
layout: objects
title: speaker medium volume
emoji: speaker_medium_volume
permalink: 🔉.html
---"
1126,u+1f50a,speaker-high-volume,1126-speaker-high-volume.md,speaker_high_volume,🔊,permalink: 🔊.html,speaker high volume,"---
layout: objects
title: speaker high volume
emoji: speaker_high_volume
permalink: 🔊.html
---"
1127,u+1f4e2,loudspeaker,1127-loudspeaker.md,loudspeaker,📢,permalink: 📢.html,loudspeaker,"---
layout: objects
title: loudspeaker
emoji: loudspeaker
permalink: 📢.html
---"
1128,u+1f4e3,megaphone,1128-megaphone.md,megaphone,📣,permalink: 📣.html,megaphone,"---
layout: objects
title: megaphone
emoji: megaphone
permalink: 📣.html
---"
1129,u+1f4ef,postal-horn,1129-postal-horn.md,postal_horn,📯,permalink: 📯.html,postal horn,"---
layout: objects
title: postal horn
emoji: postal_horn
permalink: 📯.html
---"
1130,u+1f514,bell,1130-bell.md,bell,🔔,permalink: 🔔.html,bell,"---
layout: objects
title: bell
emoji: bell
permalink: 🔔.html
---"
1131,u+1f515,bell-with-slash,1131-bell-with-slash.md,bell_with_slash,🔕,permalink: 🔕.html,bell with slash,"---
layout: objects
title: bell with slash
emoji: bell_with_slash
permalink: 🔕.html
---"
1132,u+1f3bc,musical-score,1132-musical-score.md,musical_score,🎼,permalink: 🎼.html,musical score,"---
layout: objects
title: musical score
emoji: musical_score
permalink: 🎼.html
---"
1133,u+1f3b5,musical-note,1133-musical-note.md,musical_note,🎵,permalink: 🎵.html,musical note,"---
layout: objects
title: musical note
emoji: musical_note
permalink: 🎵.html
---"
1134,u+1f3b6,musical-notes,1134-musical-notes.md,musical_notes,🎶,permalink: 🎶.html,musical notes,"---
layout: objects
title: musical notes
emoji: musical_notes
permalink: 🎶.html
---"
1135,u+1f399,studio-microphone,1135-studio-microphone.md,studio_microphone,🎙,permalink: 🎙.html,studio microphone,"---
layout: objects
title: studio microphone
emoji: studio_microphone
permalink: 🎙.html
---"
1136,u+1f39a,level-slider,1136-level-slider.md,level_slider,🎚,permalink: 🎚.html,level slider,"---
layout: objects
title: level slider
emoji: level_slider
permalink: 🎚.html
---"
1137,u+1f39b,control-knobs,1137-control-knobs.md,control_knobs,🎛,permalink: 🎛.html,control knobs,"---
layout: objects
title: control knobs
emoji: control_knobs
permalink: 🎛.html
---"
1138,u+1f3a4,microphone,1138-microphone.md,microphone,🎤,permalink: 🎤.html,microphone,"---
layout: objects
title: microphone
emoji: microphone
permalink: 🎤.html
---"
1139,u+1f3a7,headphone,1139-headphone.md,headphone,🎧,permalink: 🎧.html,headphone,"---
layout: objects
title: headphone
emoji: headphone
permalink: 🎧.html
---"
1140,u+1f4fb,radio,1140-radio.md,radio,📻,permalink: 📻.html,radio,"---
layout: objects
title: radio
emoji: radio
permalink: 📻.html
---"
1141,u+1f3b7,saxophone,1141-saxophone.md,saxophone,🎷,permalink: 🎷.html,saxophone,"---
layout: objects
title: saxophone
emoji: saxophone
permalink: 🎷.html
---"
1142,u+1fa97,accordion,1142-accordion.md,accordion,🪗,permalink: 🪗.html,accordion,"---
layout: objects
title: accordion
emoji: accordion
permalink: 🪗.html
---"
1143,u+1f3b8,guitar,1143-guitar.md,guitar,🎸,permalink: 🎸.html,guitar,"---
layout: objects
title: guitar
emoji: guitar
permalink: 🎸.html
---"
1144,u+1f3b9,musical-keyboard,1144-musical-keyboard.md,musical_keyboard,🎹,permalink: 🎹.html,musical keyboard,"---
layout: objects
title: musical keyboard
emoji: musical_keyboard
permalink: 🎹.html
---"
1145,u+1f3ba,trumpet,1145-trumpet.md,trumpet,🎺,permalink: 🎺.html,trumpet,"---
layout: objects
title: trumpet
emoji: trumpet
permalink: 🎺.html
---"
1146,u+1f3bb,violin,1146-violin.md,violin,🎻,permalink: 🎻.html,violin,"---
layout: objects
title: violin
emoji: violin
permalink: 🎻.html
---"
1147,u+1fa95,banjo,1147-banjo.md,banjo,🪕,permalink: 🪕.html,banjo,"---
layout: objects
title: banjo
emoji: banjo
permalink: 🪕.html
---"
1148,u+1f941,drum,1148-drum.md,drum,🥁,permalink: 🥁.html,drum,"---
layout: objects
title: drum
emoji: drum
permalink: 🥁.html
---"
1149,u+1fa98,long-drum,1149-long-drum.md,long_drum,🪘,permalink: 🪘.html,long drum,"---
layout: objects
title: long drum
emoji: long_drum
permalink: 🪘.html
---"
1150,u+1f4f1,mobile-phone,1150-mobile-phone.md,mobile_phone,📱,permalink: 📱.html,mobile phone,"---
layout: objects
title: mobile phone
emoji: mobile_phone
permalink: 📱.html
---"
1151,u+1f4f2,mobile-phone-with-arrow,1151-mobile-phone-with-arrow.md,mobile_phone_with_arrow,📲,permalink: 📲.html,mobile phone with arrow,"---
layout: objects
title: mobile phone with arrow
emoji: mobile_phone_with_arrow
permalink: 📲.html
---"
1152,u+260e,telephone,1152-telephone.md,telephone,☎,permalink: ☎.html,telephone,"---
layout: objects
title: telephone
emoji: telephone
permalink: ☎.html
---"
1153,u+1f4de,telephone-receiver,1153-telephone-receiver.md,telephone_receiver,📞,permalink: 📞.html,telephone receiver,"---
layout: objects
title: telephone receiver
emoji: telephone_receiver
permalink: 📞.html
---"
1154,u+1f4df,pager,1154-pager.md,pager,📟,permalink: 📟.html,pager,"---
layout: objects
title: pager
emoji: pager
permalink: 📟.html
---"
1155,u+1f4e0,fax-machine,1155-fax-machine.md,fax_machine,📠,permalink: 📠.html,fax machine,"---
layout: objects
title: fax machine
emoji: fax_machine
permalink: 📠.html
---"
1156,u+1f50b,battery,1156-battery.md,battery,🔋,permalink: 🔋.html,battery,"---
layout: objects
title: battery
emoji: battery
permalink: 🔋.html
---"
1157,u+1f50c,electric-plug,1157-electric-plug.md,electric_plug,🔌,permalink: 🔌.html,electric plug,"---
layout: objects
title: electric plug
emoji: electric_plug
permalink: 🔌.html
---"
1158,u+1f4bb,laptop,1158-laptop.md,laptop,💻,permalink: 💻.html,laptop,"---
layout: objects
title: laptop
emoji: laptop
permalink: 💻.html
---"
1159,u+1f5a5,desktop-computer,1159-desktop-computer.md,desktop_computer,🖥,permalink: 🖥.html,desktop computer,"---
layout: objects
title: desktop computer
emoji: desktop_computer
permalink: 🖥.html
---"
1160,u+1f5a8,printer,1160-printer.md,printer,🖨,permalink: 🖨.html,printer,"---
layout: objects
title: printer
emoji: printer
permalink: 🖨.html
---"
1161,u+2328,keyboard,1161-keyboard.md,keyboard,⌨,permalink: ⌨.html,keyboard,"---
layout: objects
title: keyboard
emoji: keyboard
permalink: ⌨.html
---"
1162,u+1f5b1,computer-mouse,1162-computer-mouse.md,computer_mouse,🖱,permalink: 🖱.html,computer mouse,"---
layout: objects
title: computer mouse
emoji: computer_mouse
permalink: 🖱.html
---"
